"no","Word","Sub_Type","Type2","Type3","wildcard","wildsort","Source_Politician","Low_Precision","Low_Recall","Other_Reason","Old_Term","Include","Comment","sort","multiword","duplicate","real_duplicate","added","regex_matches","regex_lookuptime","regex_sort","word_copy","popu_list","ches2014_antielite_std","ches2017_antielite_std","ches2017_peopleelite_std","ches2017_pop_std","cses5_pop_std","mean_cor"
209,"zugeben","zzz_none","conflictive","anti-elitism","none",1,1,0,0,0,0,1,,"zugeben",FALSE,FALSE,FALSE,2019-04-08,97,1.13,1,"zugeben",0.21,0.02,0.96,0.76,0.93,0.63,0.53
210,"zu( )?lasten de(s|r) deutschen","auf kosten der menschen","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,,"zulastendesrdeutschen",TRUE,FALSE,FALSE,2019-04-11,19,1.12,1,"zu( )?lasten de(s|r) deutschen",0.38,0.38,0.85,0.63,0.80,0.66,0.61
211,"zu( )?lasten de(s|r) österreicher(s|innen|in)?","auf kosten der menschen","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,"never appeared term","zulastendesrösterreichersinnenin",TRUE,FALSE,FALSE,2019-05-10,0,1.09,1,"zu( )?lasten de(s|r) österreicher(s|innen|in)?","NA","NA","NA","NA","NA","NA","#DIV/0!"
212,"zu( )?lasten de(s|r) schweizer(s|innen|in)?","auf kosten der menschen","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,"never appeared term","zulastendesrschweizersinnenin",TRUE,FALSE,FALSE,2019-05-10,0,1.07,1,"zu( )?lasten de(s|r) schweizer(s|innen|in)?","NA","NA","NA","NA","NA","NA","#DIV/0!"
213,"zu( )?lasten de(s|r) steuerzahler(s|innen|in)?","auf kosten der menschen","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,,"zulastendesrsteuerzahlersinnenin",TRUE,FALSE,FALSE,2019-04-11,18,1.12,1,"zu( )?lasten de(s|r) steuerzahler(s|innen|in)?",0.46,0.03,0.85,0.63,0.80,0.66,0.50
214,"zum schaden de(s|r) bürger(s|innen|in)?","auf kosten der menschen","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,,"zumschadendesrbürgersinnenin",TRUE,FALSE,FALSE,2019-04-11,5,1.07,1,"zum schaden de(s|r) bürger(s|innen|in)?",0.44,0.38,0.85,0.63,0.80,0.66,0.61
215,"(a|ä)ngst(e)? (der|einer|unserer) bevölkerung","sorgen der menschen","advocative","people-centrism","regex",1,0,1,0,0,0,0,,"aängstedereinerunsererbevölkerung",TRUE,FALSE,FALSE,2019-04-11,9,1.60,1,"(a|ä)ngst(e)? (der|einer|unserer) bevölkerung",0.30,"NA",0.85,0.63,0.80,-0.39,0.21
216,"(a|ä)ngst(e)? (de(r|s)|eine(s|r)|unsere(s|r))","sorgen der menschen","advocative","people-centrism","regex",1,0,1,0,0,0,0,,"aängstederseinesrunseresr",TRUE,FALSE,FALSE,2019-04-11,73,1.58,1,"(a|ä)ngst(e)? (de(r|s)|eine(s|r)|unsere(s|r))",0.32,0.11,0.79,0.65,0.78,0.33,0.41
217,"(a|ä)ngst(e)? (de(s|r)|eine(s|r)|unsere(s|r)) menschen","sorgen der menschen","advocative","people-centrism","regex",1,0,1,1,0,0,0,,"aängstedesreinesrunseresrmenschen",TRUE,FALSE,FALSE,2019-04-11,23,1.49,1,"(a|ä)ngst(e)? (de(s|r)|eine(s|r)|unsere(s|r)) menschen","NA","NA","NA","NA","NA","NA","#DIV/0!"
218,"abgehoben","zzz_none","conflictive","anti-elitism","none",1,0,0,1,1,1,0,"abgehoben* is better","abgehoben",FALSE,FALSE,FALSE,2019-01-10,62,1.45,1,"abgehoben","NA","NA","NA","NA","NA","NA","#DIV/0!"
219,"abgehoben(e|er|en) (.*)elite(n)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"abgehoben is included","abgehobeneereneliten",TRUE,FALSE,FALSE,2019-04-11,15,1.42,1,"abgehoben(e|er|en) (.*)elite(n)?","NA","NA","NA","NA","NA","NA","#DIV/0!"
220,"abgehoben(e|er|en|em) politiker(s|n|innen|in)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"abgehoben is included","abgehobeneerenempolitikersninnenin",TRUE,FALSE,FALSE,2019-04-11,6,1.37,1,"abgehoben(e|er|en|em) politiker(s|n|innen|in)?","NA","NA","NA","NA","NA","NA","#DIV/0!"
221,"abgehoben(e|er|es|en|em) politiker(s|n|innen|in)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"abgehoben is included","abgehobeneeresenempolitikersninnenin",TRUE,FALSE,FALSE,2019-04-11,6,1.42,1,"abgehoben(e|er|es|en|em) politiker(s|n|innen|in)?","NA","NA","NA","NA","NA","NA","#DIV/0!"
222,"abstimmen","zzz_none","advocative","sovereignty","none",1,0,1,0,1,1,0,,"abstimmen",FALSE,FALSE,FALSE,2019-01-10,823,1.38,1,"abstimmen",0.20,-0.21,0.60,0.83,0.74,0.52,0.35
223,"absurdität","zzz_none","conflictive","anti-elitism","none",1,0,1,0,0,0,0,,"absurdität",FALSE,FALSE,FALSE,2019-01-10,58,1.37,1,"absurdität",0.53,0.40,0.46,0.79,0.63,0.14,0.39
224,"absurdität(en)?","zzz_none","conflictive","anti-elitism","regex",1,0,1,0,0,0,0,,"absurditäten",FALSE,FALSE,FALSE,2019-04-08,83,1.39,1,"absurdität(en)?",0.29,"NA",0.85,0.63,0.80,0.66,0.73
225,"adel","zzz_none","conflictive","anti-elitism","none",1,0,1,1,1,1,0,,"adel",FALSE,FALSE,FALSE,2019-01-10,13,1.40,1,"adel",-0.06,"NA","NA","NA","NA","NA","#DIV/0!"
226,"(.*)adel(s)?","zzz_none","conflictive","anti-elitism","regex",1,0,1,0,0,0,0,,"adels",FALSE,FALSE,FALSE,2019-04-08,56,1.13,1,"(.*)adel(s)?",0.26,-0.11,0.94,0.75,0.92,0.66,0.49
227,"allgemeinheit","volksbezug","advocative","people-centrism","none",1,0,1,0,1,0,0,"not useful?","allgemeinheit",FALSE,FALSE,FALSE,2019-04-11,201,1.47,1,"allgemeinheit",0.32,0.18,0.78,0.77,0.83,0.40,0.47
228,"allgemeinheit (.* )?aufbürde(t|n)","den menschen aufzwingen","conflictive","anti-elitism","regex",1,0,0,1,0,0,0,,"allgemeinheitaufbürdetn",TRUE,FALSE,FALSE,2019-04-11,4,1.47,1,"allgemeinheit (.* )?aufbürde(t|n)",-0.03,-0.12,"NA","NA","NA","NA",-0.12
229,"allgemeinheit (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen)","volkswille","advocative","sovereignty","regex",1,0,0,1,1,0,0,"not useful?","allgemeinheitwolleneinfordernmöchtenmögenverlangenbeanspruchenwünschen",TRUE,FALSE,FALSE,2019-04-11,8,1.41,1,"allgemeinheit (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen)","NA","NA","NA","NA","NA","NA","#DIV/0!"
230,"alten parteien","zzz_none","conflictive","anti-elitism","none",1,0,0,1,0,1,0,,"altenparteien",TRUE,FALSE,FALSE,2019-01-10,25,1.38,1,"alten parteien","NA","NA","NA","NA","NA","NA","#DIV/0!"
231,"alte(r|n) (.*)partei(en)?","zzz_none","conflictive","anti-elitism","regex",1,0,1,1,0,0,0,,"alternparteien",TRUE,FALSE,FALSE,2019-04-08,52,1.39,1,"alte(r|n) (.*)partei(en)?",-0.01,"NA","NA","NA","NA","NA","#DIV/0!"
232,"anbieder(nd|n|t)","zzz_none","conflictive","anti-elitism","regex",1,1,1,0,0,0,0,,"anbiederndnt",FALSE,FALSE,FALSE,2019-04-09,17,1.39,1,"anbieder(nd|n|t)",0.04,"NA",0.13,-0.13,0.03,0.00,0.02
233,"angeblich(e|er|en)? (.*)elite(n)?","pseudo-eliten","conflictive","anti-elitism","regex",1,0,0,1,0,0,0,,"angeblicheereneliten",TRUE,FALSE,FALSE,2019-04-11,4,1.41,1,"angeblich(e|er|en)? (.*)elite(n)?","NA","NA","NA","NA","NA","NA","#DIV/0!"
234,"angeblich(e|er|en)? (.* )?regierung(en)?","pseudo-eliten","conflictive","anti-elitism","regex",1,0,1,1,0,0,0,,"angeblicheerenregierungen",TRUE,FALSE,FALSE,2019-04-11,11,1.42,1,"angeblich(e|er|en)? (.* )?regierung(en)?","NA","NA","NA","NA","NA","NA","#DIV/0!"
235,"angeblich(e|er|en)? (.* )?wirtschaft","pseudo-eliten","conflictive","anti-elitism","regex",1,0,1,1,0,0,0,,"angeblicheerenwirtschaft",TRUE,FALSE,FALSE,2019-04-11,7,1.46,1,"angeblich(e|er|en)? (.* )?wirtschaft","NA","NA","NA","NA","NA","NA","#DIV/0!"
236,"angeblich(e|er|es|en|em)? ","pseudo-eliten","conflictive","anti-elitism","regex",1,0,1,0,1,0,0,"not useful?","angeblicheeresenem",TRUE,FALSE,FALSE,2019-04-11,1068,1.36,1,"angeblich(e|er|es|en|em)? ",0.80,0.30,0.95,0.76,0.93,0.89,0.71
237,"angestellte(n|r)?","volksbezug","advocative","people-centrism","regex",1,0,1,0,1,0,0,"not useful?","angestelltenr",FALSE,FALSE,FALSE,2019-04-11,302,1.38,1,"angestellte(n|r)?",0.72,0.30,0.81,0.62,0.78,0.56,0.55
238,"angestellte(n|r)? (.* )?(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht)","volkswille","advocative","sovereignty","regex",1,1,1,1,0,0,0,,"angestelltenrwilleinfordertmöchtemagverlangtbeanspruchtwünscht",TRUE,FALSE,FALSE,2019-04-11,6,1.38,1,"angestellte(n|r)? (.* )?(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht)","NA","NA","NA","NA","NA","NA","#DIV/0!"
239,"angestellte(n|r)? (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen)","volkswille","advocative","sovereignty","regex",1,1,1,1,0,0,0,,"angestelltenrwolleneinfordernmöchtenmögenverlangenbeanspruchenwünschen",TRUE,FALSE,FALSE,2019-04-11,6,1.40,1,"angestellte(n|r)? (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen)","NA","NA","NA","NA","NA","NA","#DIV/0!"
240,"anma(ß|ss)ung","zzz_none","conflictive","anti-elitism","regex",1,0,1,0,0,0,0,,"anmaßssung",FALSE,FALSE,FALSE,2019-04-08,22,1.37,1,"anma(ß|ss)ung",0.48,-0.21,0.85,0.63,0.80,0.66,0.42
241,"anständig(e|er|es|en|em) bürger(s|n|innen|in)?","zzz_none","advocative","people-centrism","regex",1,0,0,1,0,0,0,,"anständigeeresenembürgersninnenin",TRUE,FALSE,FALSE,2019-04-08,6,1.40,1,"anständig(e|er|es|en|em) bürger(s|n|innen|in)?","NA","NA","NA","NA","NA","NA","#DIV/0!"
242,"anständig(e|er|es|en|em) mensch(en)?","zzz_none","advocative","people-centrism","regex",1,0,0,1,0,0,0,,"anständigeeresenemmenschen",TRUE,FALSE,FALSE,2019-04-08,11,1.40,1,"anständig(e|er|es|en|em) mensch(en)?","NA","NA","NA","NA","NA","NA","#DIV/0!"
243,"(.*)arbeitend(e|er|en|em) mensch(en)?","arbeitende menschen","advocative","people-centrism","regex",1,0,1,0,0,0,0,,"arbeitendeerenemmenschen",TRUE,FALSE,FALSE,2019-04-11,211,1.19,1,"(.*)arbeitend(e|er|en|em) mensch(en)?",0.05,-0.24,-0.47,-0.85,-0.67,-0.01,-0.31
244,"(.*)arbeitend(e|er|en) leute(n)?","arbeitende menschen","advocative","people-centrism","regex",1,0,0,1,0,0,0,,"arbeitendeerenleuten",TRUE,FALSE,FALSE,2019-04-11,6,1.14,1,"(.*)arbeitend(e|er|en) leute(n)?",-0.20,"NA","NA","NA","NA","NA","#DIV/0!"
245,"arbeitend(e|er|es|en|em)?","arbeitende menschen","advocative","people-centrism","regex",1,0,1,0,1,0,0,"not useful?","arbeitendeeresenem",FALSE,FALSE,FALSE,2019-04-11,383,1.39,1,"arbeitend(e|er|es|en|em)?",0.55,0.03,0.06,0.02,0.05,0.22,0.10
246,"arbeiterschaft","volksbezug","advocative","people-centrism","none",1,0,1,1,0,0,0,,"arbeiterschaft",FALSE,FALSE,FALSE,2019-04-11,8,1.38,1,"arbeiterschaft",0.20,"NA","NA","NA","NA","NA","#DIV/0!"
247,"arbeiter(s|n|innen|in)?","volksbezug","advocative","people-centrism","regex",1,0,1,0,1,0,0,"not useful?","arbeitersninnenin",FALSE,FALSE,FALSE,2019-04-11,347,1.38,1,"arbeiter(s|n|innen|in)?",0.31,0.01,0.90,0.83,0.93,0.53,0.49
248,"arbeitnehmer(innen|in)? (.* )?(wei(ß|ss)|wissen)","common sense","advocative","people-centrism","regex",1,0,1,1,0,0,0,,"arbeitnehmerinneninweißsswissen",TRUE,FALSE,FALSE,2019-04-11,9,1.45,1,"arbeitnehmer(innen|in)? (.* )?(wei(ß|ss)|wissen)",-0.22,"NA","NA","NA","NA","NA","#DIV/0!"
249,"arbeitnehmer(innen|in)? (.* )?(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht)","volkswille","advocative","sovereignty","regex",1,1,1,1,0,0,0,,"arbeitnehmerinneninwilleinfordertmöchtemagverlangtbeanspruchtwünscht",TRUE,FALSE,FALSE,2019-04-11,18,1.43,1,"arbeitnehmer(innen|in)? (.* )?(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht)","NA","NA","NA","NA","NA","NA","#DIV/0!"
250,"arbeitnehmer(innen|in)? (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen)","volkswille","advocative","sovereignty","regex",1,1,1,1,0,0,0,,"arbeitnehmerinneninwolleneinfordernmöchtenmögenverlangenbeanspruchenwünschen",TRUE,FALSE,FALSE,2019-04-11,9,1.41,1,"arbeitnehmer(innen|in)? (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen)","NA","NA","NA","NA","NA","NA","#DIV/0!"
251,"arbeitnehmer(s|n|innen|in)?","volksbezug","advocative","people-centrism","regex",1,0,1,0,1,0,0,"not useful?","arbeitnehmersninnenin",FALSE,FALSE,FALSE,2019-04-11,1277,1.37,1,"arbeitnehmer(s|n|innen|in)?",0.34,0.25,-0.01,0.06,0.02,0.07,0.11
252,"ärger de(s|r)","ärger der menschen","conflictive","anti-elitism","regex",1,0,1,1,0,0,0,,"ärgerdesr",TRUE,FALSE,FALSE,2019-04-11,7,0.89,1,"ärger de(s|r)",0.21,"NA","NA","NA","NA","NA","#DIV/0!"
253,"arglistig(e|er|es|en|em)? ","unaufrichtige eliten","conflictive","anti-elitism","regex",1,0,1,1,0,0,0,,"arglistigeeresenem",TRUE,FALSE,FALSE,2019-04-11,4,1.38,1,"arglistig(e|er|es|en|em)? ",0.27,"NA","NA","NA","NA","NA","#DIV/0!"
254,"(auf)?bürde(t|n) ","diktatorische eliten","conflictive","anti-elitism","regex",1,0,1,0,0,0,0,,"aufbürdetn",TRUE,FALSE,FALSE,2019-04-11,51,1.61,1,"(auf)?bürde(t|n) ",0.32,-0.15,0.85,0.63,0.80,0.66,0.44
255,"auferleg(t|en)","den menschen aufzwingen","conflictive","anti-elitism","regex",1,0,1,0,1,0,0,"not useful?","auferlegten",FALSE,FALSE,FALSE,2019-04-11,37,1.38,1,"auferleg(t|en)",0.50,0.34,0.85,0.63,0.80,0.66,0.60
256,"auf kosten","zzz_none","conflictive","anti-elitism","none",1,0,1,0,0,1,0,,"aufkosten",TRUE,FALSE,FALSE,2019-01-10,785,1.37,1,"auf kosten",0.18,-0.28,0.92,0.74,0.90,0.64,0.42
257,"auf kosten der bevölkerung","auf kosten der menschen","conflictive","anti-elitism","none",1,0,0,1,0,0,0,,"aufkostenderbevölkerung",TRUE,FALSE,FALSE,2019-04-11,6,1.38,1,"auf kosten der bevölkerung",0.23,"NA","NA","NA","NA","NA","#DIV/0!"
258,"auf kosten der frau(en)?","auf kosten der menschen","conflictive","anti-elitism","regex",1,0,0,1,1,0,0,"very rare terms","aufkostenderfrauen",TRUE,FALSE,FALSE,2019-04-11,4,1.38,1,"auf kosten der frau(en)?",,,,,,,"#DIV/0!"
259,"auf kosten der mehrheit","auf kosten der menschen","conflictive","anti-elitism","none",1,0,0,1,0,0,0,,"aufkostendermehrheit",TRUE,FALSE,FALSE,2019-04-11,6,1.38,1,"auf kosten der mehrheit",0.27,"NA",0.32,0.31,0.34,0.18,0.26
260,"auf kosten de(s|r)","auf kosten der menschen","conflictive","anti-elitism","regex",1,0,1,0,0,0,0,,"aufkostendesr",TRUE,FALSE,FALSE,2019-04-11,610,1.39,1,"auf kosten de(s|r)",0.42,0.09,0.79,0.88,0.88,0.23,0.40
261,"auf kosten de(s|r) arbeitnehmer(s|innen|in)?","auf kosten der menschen","conflictive","anti-elitism","regex",1,0,0,1,0,0,0,,"aufkostendesrarbeitnehmersinnenin",TRUE,FALSE,FALSE,2019-04-11,5,1.39,1,"auf kosten de(s|r) arbeitnehmer(s|innen|in)?","NA","NA","NA","NA","NA","NA","#DIV/0!"
262,"auf kosten de(s|r) menschen","auf kosten der menschen","conflictive","anti-elitism","regex",1,0,1,1,0,0,0,,"aufkostendesrmenschen",TRUE,FALSE,FALSE,2019-04-11,14,1.36,1,"auf kosten de(s|r) menschen","NA","NA","NA","NA","NA","NA","#DIV/0!"
263,"auf kosten de(s|r) steuerzahler(s|innen|in)?","auf kosten der menschen","conflictive","anti-elitism","regex",1,0,1,1,0,0,0,,"aufkostendesrsteuerzahlersinnenin",TRUE,FALSE,FALSE,2019-04-11,86,1.37,1,"auf kosten de(s|r) steuerzahler(s|innen|in)?","NA","NA","NA","NA","NA","NA","#DIV/0!"
264,"aufrichtig(e|er|es|en|em)?","ehrliche menschen","advocative","people-centrism","regex",1,0,1,0,1,0,0,"not useful?","aufrichtigeeresenem",FALSE,FALSE,FALSE,2019-04-11,141,1.36,1,"aufrichtig(e|er|es|en|em)?",0.38,0.32,-0.27,-0.34,-0.32,0.22,0.07
265,"aufzwingen","zzz_none","conflictive","sovereignty","none",1,0,0,1,0,1,0,,"aufzwingen",FALSE,FALSE,FALSE,2019-01-10,42,1.38,1,"aufzwingen","NA","NA","NA","NA","NA","NA","#DIV/0!"
266,"(auf)?zwing(t|en) ","diktatorische eliten","conflictive","anti-elitism","regex",1,0,1,0,0,0,0,,"aufzwingten",TRUE,FALSE,FALSE,2019-04-11,376,1.60,1,"(auf)?zwing(t|en) ",0.50,0.54,0.75,0.77,0.81,0.49,0.61
267,"(auf)?zwing(t|en) (.*)partei(en)?","diktatorische eliten","conflictive","anti-elitism","regex",1,0,0,1,0,0,0,"very rare terms","aufzwingtenparteien",TRUE,FALSE,FALSE,2019-04-11,5,1.55,1,"(auf)?zwing(t|en) (.*)partei(en)?","NA","NA","NA","NA","NA","NA","#DIV/0!"
268,"(auf)?zwing(t|en) (.* )?regierung(en)?","diktatorische eliten","conflictive","anti-elitism","regex",1,0,0,1,0,0,0,,"aufzwingtenregierungen",TRUE,FALSE,FALSE,2019-04-11,4,1.56,1,"(auf)?zwing(t|en) (.* )?regierung(en)?",,,,,,,"#DIV/0!"
269,"ausbeuten","zzz_none","conflictive","anti-elitism","none",1,0,0,0,0,1,0,,"ausbeuten",FALSE,FALSE,FALSE,2019-01-10,13,1.39,1,"ausbeuten",0.00,-0.12,0.32,0.31,0.34,0.18,0.13
270,"ausbeuter(s|n|in|innen)?","zzz_none","conflictive","anti-elitism","regex",1,0,1,0,0,0,0,,"ausbeutersnininnen",FALSE,FALSE,FALSE,2019-04-08,8,1.42,1,"ausbeuter(s|n|in|innen)?",0.36,0.38,"NA","NA","NA","NA",0.38
271,"ausbeute(t|n)","zzz_none","conflictive","anti-elitism","regex",1,0,1,1,0,0,0,,"ausbeutetn",FALSE,FALSE,FALSE,2019-04-08,22,1.40,1,"ausbeute(t|n)",0.25,"NA","NA","NA","NA","NA","#DIV/0!"
272,"(aus)?verkauf(t|en)","verabscheuenswerte eliten","conflictive","anti-elitism","regex",1,0,0,0,1,0,0,"not useful?","ausverkauften",FALSE,FALSE,FALSE,2019-04-11,677,1.52,1,"(aus)?verkauf(t|en)",0.75,0.19,0.89,0.64,0.84,0.66,0.56
273,"autokrat(.*)","zzz_none","conflictive","anti-elitism","regex",1,0,1,0,0,0,0,,"autokrat",FALSE,TRUE,FALSE,2019-04-08,96,1.39,1,"autokrat(.*)",-0.12,-0.16,0.10,0.60,0.33,0.06,0.08
274,"autokrat","zzz_none","conflictive","anti-elitism","none",1,0,0,1,1,1,0,,"autokrat",FALSE,TRUE,FALSE,2019-01-10,10,1.35,1,"autokrat","NA","NA","NA","NA","NA","NA","#DIV/0!"
275,"autokraten","zzz_none","conflictive","anti-elitism","none",1,0,0,1,0,1,0,,"autokraten",FALSE,FALSE,FALSE,2019-01-10,37,1.62,1,"autokraten","NA","NA","NA","NA","NA","NA","#DIV/0!"
276,"autokrat(en|in)?","zzz_none","conflictive","anti-elitism","regex",1,0,1,1,0,0,0,,"autokratenin",FALSE,FALSE,FALSE,2019-04-08,48,1.39,1,"autokrat(en|in)?","NA","NA","NA","NA","NA","NA","#DIV/0!"
277,"bank(i)?er(s)?","zzz_none","conflictive","anti-elitism","regex",1,0,1,1,0,0,0,,"bankiers",FALSE,FALSE,FALSE,2019-04-08,67,1.03,1,"bank(i)?er(s)?","NA","NA","NA","NA","NA","NA","#DIV/0!"
278,"(be|an)?lüg(t|en) ","unaufrichtige eliten","conflictive","anti-elitism","regex",1,0,1,0,0,0,0,,"beanlügten",TRUE,FALSE,FALSE,2019-04-11,514,2.02,1,"(be|an)?lüg(t|en) ",0.30,0.39,0.94,0.86,0.97,0.78,0.71
279,"bedenken (de(r|s)|eine(s|r)|unsere(s|r))","sorgen der menschen","advocative","people-centrism","regex",1,0,1,0,0,0,0,,"bedenkenderseinesrunseresr",TRUE,FALSE,FALSE,2019-04-11,14,1.04,1,"bedenken (de(r|s)|eine(s|r)|unsere(s|r))",0.34,"NA",0.85,0.63,0.80,0.66,0.73
280,"(be|ein)wohner(innen|in)? (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen)","volkswille","advocative","sovereignty","regex",1,1,1,0,0,0,0,,"beeinwohnerinneninwolleneinfordernmöchtenmögenverlangenbeanspruchenwünschen",TRUE,FALSE,FALSE,2019-04-11,4,2.44,1,"(be|ein)wohner(innen|in)? (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen)",,,,,,,"#DIV/0!"
281,"(be|ein)wohner(s|n|innen|in)?","volksbezug","advocative","people-centrism","regex",1,0,1,0,1,0,0,"not useful?","beeinwohnersninnenin",FALSE,FALSE,FALSE,2019-04-11,294,2.62,1,"(be|ein)wohner(s|n|innen|in)?",0.47,0.78,0.39,0.14,0.30,0.07,0.38
282,"befürchtung(en)? (de(r|s)|eine(s|r)|unsere(s|r))","sorgen der menschen","advocative","people-centrism","regex",1,0,1,0,0,0,0,,"befürchtungenderseinesrunseresr",TRUE,FALSE,FALSE,2019-04-11,11,1.04,1,"befürchtung(en)? (de(r|s)|eine(s|r)|unsere(s|r))",0.62,"NA",0.85,0.63,0.80,0.66,0.73
283,"beherrsch(t|en)","zzz_none","conflictive","anti-elitism","regex",1,0,1,0,0,0,0,,"beherrschten",FALSE,FALSE,FALSE,2019-04-08,109,1.02,1,"beherrsch(t|en)",0.40,-0.31,0.61,0.29,0.51,0.39,0.20
284,"berufspolitiker","zzz_none","conflictive","anti-elitism","none",1,0,0,1,1,1,0,,"berufspolitiker",FALSE,FALSE,FALSE,2019-01-10,22,1.03,1,"berufspolitiker","NA","NA","NA","NA","NA","NA","#DIV/0!"
285,"berufstätig(e|er|en) frau(en)?","arbeitende menschen","advocative","people-centrism","regex",1,0,1,0,0,0,0,,"berufstätigeerenfrauen",TRUE,FALSE,FALSE,2019-04-11,4,1.03,1,"berufstätig(e|er|en) frau(en)?",,,,,,,"#DIV/0!"
286,"berufstätig(e|er|es|en|em)?","arbeitende menschen","advocative","people-centrism","regex",1,0,1,0,1,0,0,"not useful?","berufstätigeeresenem",FALSE,FALSE,FALSE,2019-04-11,62,1.03,1,"berufstätig(e|er|es|en|em)?",0.18,-0.30,0.94,0.75,0.92,0.83,0.48
287,"berufstätige(n|r)?","volksbezug","advocative","people-centrism","regex",1,0,1,1,1,0,0,"not useful?","berufstätigenr",FALSE,FALSE,FALSE,2019-04-11,48,1.03,1,"berufstätige(n|r)?","NA","NA","NA","NA","NA","NA","#DIV/0!"
288,"beschäftigte(n|r)?","volksbezug","advocative","people-centrism","regex",1,0,1,0,1,0,0,"not useful?","beschäftigtenr",FALSE,FALSE,FALSE,2019-04-11,1482,1.03,1,"beschäftigte(n|r)?",0.42,0.07,0.22,0.23,0.24,0.02,0.11
289,"beschäftigte(n|r)? (.* )?(wei(ß|ss)|wissen)","common sense","advocative","people-centrism","regex",1,0,1,1,0,0,0,,"beschäftigtenrweißsswissen",TRUE,FALSE,FALSE,2019-04-11,7,1.07,1,"beschäftigte(n|r)? (.* )?(wei(ß|ss)|wissen)",0.21,"NA","NA","NA","NA","NA","#DIV/0!"
290,"beschäftigte(n|r)? (.* )?(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht)","volkswille","advocative","sovereignty","regex",1,1,1,1,0,0,0,,"beschäftigtenrwilleinfordertmöchtemagverlangtbeanspruchtwünscht",TRUE,FALSE,FALSE,2019-04-11,19,1.11,1,"beschäftigte(n|r)? (.* )?(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht)","NA","NA","NA","NA","NA","NA","#DIV/0!"
291,"beschäftigte(n|r)? (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen)","volkswille","advocative","sovereignty","regex",1,1,1,1,0,0,0,,"beschäftigtenrwolleneinfordernmöchtenmögenverlangenbeanspruchenwünschen",TRUE,FALSE,FALSE,2019-04-11,26,1.28,1,"beschäftigte(n|r)? (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen)","NA","NA","NA","NA","NA","NA","#DIV/0!"
292,"bessere gesellschaft","zzz_none","conflictive","anti-elitism","none",1,0,0,1,0,1,0,,"besseregesellschaft",TRUE,FALSE,FALSE,2019-01-10,11,1.02,1,"bessere gesellschaft",0.24,"NA","NA","NA","NA","NA","#DIV/0!"
293,"bessere(n|r)? gesellschaft","zzz_none","conflictive","anti-elitism","regex",1,0,0,1,0,0,0,,"besserenrgesellschaft",TRUE,FALSE,FALSE,2019-04-08,12,1.03,1,"bessere(n|r)? gesellschaft","NA","NA","NA","NA","NA","NA","#DIV/0!"
294,"bestechlich(e|er|es|en|em)? ","korrupte eliten","conflictive","anti-elitism","regex",1,0,1,1,0,0,0,,"bestechlicheeresenem",TRUE,FALSE,FALSE,2019-04-11,5,1.04,1,"bestechlich(e|er|es|en|em)? ",0.27,"NA","NA","NA","NA","NA","#DIV/0!"
295,"best(i|e)ch(t|en)","korrupte eliten","conflictive","anti-elitism","regex",1,0,1,0,0,0,0,,"bestiechten",FALSE,FALSE,FALSE,2019-04-11,11,1.03,1,"best(i|e)ch(t|en)",-0.16,"NA",0.85,0.63,0.80,0.66,0.73
296,"(.*)betrug(.*)","zzz_none","conflictive","anti-elitism","regex",1,1,1,0,0,0,0,,"betrug",FALSE,FALSE,FALSE,2019-04-08,711,0.95,1,"(.*)betrug(.*)",0.43,-0.11,0.87,0.75,0.87,0.66,0.47
297,"betrüg(t|en)","unaufrichtige eliten","conflictive","anti-elitism","regex",1,0,1,0,0,0,0,,"betrügten",FALSE,FALSE,FALSE,2019-04-11,54,1.03,1,"betrüg(t|en)",0.16,0.30,0.70,0.59,0.70,0.47,0.49
